"Marca temporal","¿Consume pan?","Número de integrantes de la familia","¿Qué tan importante es la ingesta de pan diariamente? 1 al 5, siendo 5 la más importante","Con que frecuencia consume pan","Cuando compra pan, ¿Qué prefiere usted?","Al momento de comprar pan, ¿Donde lo realiza?","¿Qué variable considera al momento de comprar pan envasado?","¿Porque razón compra pan envasado principalmente?","Respecto al tamaño del envase,¿Cuál prefiere?","¿Qué marca de pan envasado prefiere?","¿Con qué frecuencia consume pan envasado?"
"2018/11/20 11:09:27 a. m. GMT-3","Si","","4","todos los días","pan preparado","Panderias","Todas las anteriores","Ocasiones especiales","700 gramos","Fuch","ocasionalmente"
"2018/11/20 12:54:40 p. m. GMT-3","Si","3 integrantes","5","todos los días","pan preparado","Supermercados","Precio","Durabilidad","700 gramos","Ideal","ocasionalmente"
"2018/11/20 1:45:36 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","indiferente","Supermercados","Todas las anteriores","Durabilidad","700 gramos","Cena","3 veces por semana"
"2018/11/20 1:58:53 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","envasado","Supermercados","Todas las anteriores","Durabilidad","700 gramos","Castaño","todos los días"
"2018/11/20 2:01:37 p. m. GMT-3","Si","Más de 3 integrantes","2","ocasionalmente","indiferente","Almacenes de barrio","Todas las anteriores","Durabilidad","700 gramos","Fuch","ocasionalmente"
"2018/11/20 2:02:56 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Almacenes de barrio","Marca","Durabilidad","250 gramos","Ideal","ocasionalmente"
"2018/11/20 4:20:36 p. m. GMT-3","Si","2 integrantes","3","todos los días","indiferente","Panderias","Precio","Ocasiones especiales","580 gramos","Fuch","ocasionalmente"
"2018/11/20 4:21:30 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Panderias","Todas las anteriores","Sabor","580 gramos","Ideal","ocasionalmente"
"2018/11/20 4:22:52 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","pan preparado","Supermercados","Precio","Sabor","700 gramos","Cena","ocasionalmente"
"2018/11/20 4:23:07 p. m. GMT-3","Si","2 integrantes","5","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Fuch","ocasionalmente"
"2018/11/20 4:35:09 p. m. GMT-3","Si","3 integrantes","3","todos los días","indiferente","Panderias","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/20 5:04:29 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Almacenes de barrio","Precio","Durabilidad","580 gramos","Castaño","ocasionalmente"
"2018/11/20 8:59:43 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","envasado","Supermercados","Marca","Durabilidad","300 gramos","Ideal","todos los días"
"2018/11/20 9:02:29 p. m. GMT-3","Si","2 integrantes","2","todos los días","pan preparado","Supermercados","Precio","Rápido de preparar","700 gramos","Marcas tradicionales de supermercados","3 veces por semana"
"2018/11/20 9:04:18 p. m. GMT-3","Si","3 integrantes","1","3 o más veces por semana","granel","otro","Valor nutricional","Rápido de preparar","250 gramos","Fuch","ocasionalmente"
"2018/11/20 9:10:11 p. m. GMT-3","Si","Más de 3 integrantes","3","3 o más veces por semana","pan preparado","Panderias","Precio","Rápido de preparar","580 gramos","Castaño","3 veces por semana"
"2018/11/20 10:22:08 p. m. GMT-3","Si","3 integrantes","2","3 o más veces por semana","indiferente","Panderias","Cantidad","Ocasiones especiales","250 gramos","Fuch","ocasionalmente"
"2018/11/21 12:23:56 a. m. GMT-3","Si","2 integrantes","5","todos los días","granel","Panderias","Todas las anteriores","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/21 12:33:31 a. m. GMT-3","Si","vivo solo","1","3 o más veces por semana","envasado","Supermercados","Precio","Durabilidad","300 gramos","Castaño","3 veces por semana"
"2018/11/21 1:26:58 a. m. GMT-3","Si","2 integrantes","4","3 o más veces por semana","granel","Panderias","Todas las anteriores","Ocasiones especiales","580 gramos","Fuch","ocasionalmente"
"2018/11/21 7:29:39 a. m. GMT-3","Si","vivo solo","3","3 o más veces por semana","indiferente","Supermercados","Marca","Sabor","250 gramos","Marcas tradicionales de supermercados","3 veces por semana"
"2018/11/21 7:30:29 a. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","envasado","Supermercados","Precio","Durabilidad","700 gramos","Castaño","todos los días"
"2018/11/21 7:31:31 a. m. GMT-3","Si","2 integrantes","1","ocasionalmente","envasado","Supermercados","Marca","Sabor","250 gramos","Fuch","ocasionalmente"
"2018/11/21 8:44:17 a. m. GMT-3","Si","Más de 3 integrantes","4","3 o más veces por semana","granel","Panderias","Todas las anteriores","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/21 9:06:32 a. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Panderias","Precio","Rápido de preparar","700 gramos","Ideal","ocasionalmente"
"2018/11/21 9:36:30 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","580 gramos","Castaño","ocasionalmente"
"2018/11/21 10:06:19 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Panderias","Precio","Ocasiones especiales","250 gramos","Ideal","ocasionalmente"
"2018/11/21 10:06:23 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","pan preparado","Almacenes de barrio","Precio","Ocasiones especiales","580 gramos","Ideal","ocasionalmente"
"2018/11/21 10:09:04 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","pan preparado","Panderias","Todas las anteriores","Rápido de preparar","300 gramos","Ideal","ocasionalmente"
"2018/11/21 10:20:42 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","pan preparado","Almacenes de barrio","Marca","Ocasiones especiales","700 gramos","Fuch","ocasionalmente"
"2018/11/21 10:26:41 p. m. GMT-3","Si","Más de 3 integrantes","2","3 o más veces por semana","pan preparado","Supermercados","Todas las anteriores","Ocasiones especiales","300 gramos","Ideal","ocasionalmente"
"2018/11/21 10:33:48 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","indiferente","Panderias","Todas las anteriores","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/21 11:00:50 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","pan preparado","Panderias","Precio","Rápido de preparar","300 gramos","Ideal","ocasionalmente"
"2018/11/22 1:00:12 a. m. GMT-3","Si","3 integrantes","3","ocasionalmente","indiferente","Almacenes de barrio","Precio","Durabilidad","300 gramos","Ideal","ocasionalmente"
"2018/11/22 8:09:51 a. m. GMT-3","Si","2 integrantes","3","todos los días","granel","Panderias","Todas las anteriores","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/22 8:10:28 a. m. GMT-3","No ( si tu escogiste esta alternativa finaliza la encuesta)","3 integrantes","3","todos los días","granel","Panderias","Todas las anteriores","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/22 8:11:04 a. m. GMT-3","Si","Más de 3 integrantes","2","3 o más veces por semana","granel","Almacenes de barrio","Todas las anteriores","Ocasiones especiales","580 gramos","Castaño","ocasionalmente"
"2018/11/22 8:12:04 a. m. GMT-3","Si","vivo solo","3","todos los días","envasado","Supermercados","Valor nutricional","Durabilidad","300 gramos","Fuch","3 veces por semana"
"2018/11/22 8:12:30 a. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/22 8:13:02 a. m. GMT-3","Si","vivo solo","2","ocasionalmente","envasado","Supermercados","Valor nutricional","Durabilidad","300 gramos","Castaño","ocasionalmente"
"2018/11/22 8:13:28 a. m. GMT-3","Si","3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/22 8:16:32 a. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/22 8:16:56 a. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/22 8:17:34 a. m. GMT-3","Si","vivo solo","2","3 o más veces por semana","pan preparado","Supermercados","Todas las anteriores","Rápido de preparar","300 gramos","Fuch","3 veces por semana"
"2018/11/22 8:18:36 a. m. GMT-3","Si","3 integrantes","4","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/22 8:18:43 a. m. GMT-3","Si","3 integrantes","4","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/22 8:18:46 a. m. GMT-3","Si","3 integrantes","4","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/22 8:19:47 a. m. GMT-3","No ( si tu escogiste esta alternativa finaliza la encuesta)","Más de 3 integrantes","1","ocasionalmente","indiferente","Supermercados","Valor nutricional","Durabilidad","250 gramos","Fuch","ocasionalmente"
"2018/11/22 8:20:37 a. m. GMT-3","No ( si tu escogiste esta alternativa finaliza la encuesta)","vivo solo","1","ocasionalmente","envasado","Supermercados","Valor nutricional","Durabilidad","580 gramos","Castaño","3 veces por semana"
"2018/11/22 8:20:59 a. m. GMT-3","Si","vivo solo","3","3 o más veces por semana","envasado","Supermercados","Valor nutricional","Durabilidad","580 gramos","Castaño","3 veces por semana"
"2018/11/22 8:21:26 a. m. GMT-3","Si","2 integrantes","4","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","580 gramos","Ideal","ocasionalmente"
"2018/11/22 8:21:48 a. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/22 8:23:41 a. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Panderias","Cantidad","Sabor","700 gramos","Ideal","ocasionalmente"
"2018/11/22 8:24:56 a. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Panderias","Cantidad","Sabor","700 gramos","Ideal","ocasionalmente"
"2018/11/22 8:25:35 a. m. GMT-3","Si","vivo solo","1","ocasionalmente","envasado","Supermercados","Valor nutricional","Sabor","300 gramos","Fuch","ocasionalmente"
"2018/11/22 8:26:29 a. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/22 8:26:54 a. m. GMT-3","Si","vivo solo","1","ocasionalmente","envasado","Supermercados","Valor nutricional","Durabilidad","300 gramos","Castaño","ocasionalmente"
"2018/11/22 8:29:44 a. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/22 8:30:30 a. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","envasado","Supermercados","Valor nutricional","Rápido de preparar","700 gramos","Ideal","todos los días"
"2018/11/22 8:47:16 a. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Panderias","Cantidad","Sabor","700 gramos","Ideal","ocasionalmente"
"2018/11/22 8:48:14 a. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/22 8:48:30 a. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","580 gramos","Castaño","ocasionalmente"
"2018/11/22 8:48:48 a. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Panderias","Cantidad","Durabilidad","580 gramos","Fuch","ocasionalmente"
"2018/11/22 8:49:17 a. m. GMT-3","Si","2 integrantes","1","ocasionalmente","granel","Panderias","Cantidad","Ocasiones especiales","700 gramos","Fuch","ocasionalmente"
"2018/11/22 8:49:39 a. m. GMT-3","Si","vivo solo","3","ocasionalmente","granel","Supermercados","Marca","Sabor","700 gramos","Ideal","ocasionalmente"
"2018/11/22 8:50:04 a. m. GMT-3","No","Más de 3 integrantes","3","todos los días","granel","Panderias","Cantidad","Sabor","580 gramos","Cena","ocasionalmente"
"2018/11/22 8:50:30 a. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Almacenes de barrio","Cantidad","Durabilidad","700 gramos","Castaño","ocasionalmente"
"2018/11/22 8:50:51 a. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Durabilidad","580 gramos","Castaño","ocasionalmente"
"2018/11/22 12:42:15 p. m. GMT-3","Si","vivo solo","2","todos los días","envasado","Supermercados","Valor nutricional","Durabilidad","300 gramos","Ideal","todos los días"
"2018/11/22 12:42:40 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/22 12:43:21 p. m. GMT-3","Si","2 integrantes","3","3 o más veces por semana","granel","Panderias","Cantidad","Sabor","580 gramos","Ideal","ocasionalmente"
"2018/11/22 12:50:58 p. m. GMT-3","Si","3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Fuch","ocasionalmente"
"2018/11/22 12:51:54 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","580 gramos","Marcas tradicionales de supermercados","ocasionalmente"
"2018/11/22 2:17:11 p. m. GMT-3","Si","2 integrantes","3","todos los días","granel","Panderias","Cantidad","Sabor","300 gramos","Castaño","ocasionalmente"
"2018/11/22 2:17:36 p. m. GMT-3","Si","3 integrantes","4","todos los días","pan preparado","otro","Cantidad","Rápido de preparar","250 gramos","Cena","ocasionalmente"
"2018/11/22 2:18:03 p. m. GMT-3","Si","vivo solo","2","ocasionalmente","envasado","Supermercados","Valor nutricional","Durabilidad","250 gramos","Ideal","ocasionalmente"
"2018/11/22 7:16:30 p. m. GMT-3","Si","2 integrantes","1","3 o más veces por semana","granel","Supermercados","Cantidad","Durabilidad","300 gramos","Fuch","3 veces por semana"
"2018/11/22 7:16:45 p. m. GMT-3","Si","vivo solo","1","3 o más veces por semana","pan preparado","Panderias","Todas las anteriores","Sabor","580 gramos","Cena","3 veces por semana"
"2018/11/22 7:17:01 p. m. GMT-3","No ( si tu escogiste esta alternativa finaliza la encuesta)","2 integrantes","3","3 o más veces por semana","granel","Panderias","Valor nutricional","Rápido de preparar","300 gramos","Ideal","ocasionalmente"
"2018/11/22 7:17:17 p. m. GMT-3","No ( si tu escogiste esta alternativa finaliza la encuesta)","2 integrantes","3","3 o más veces por semana","pan preparado","Supermercados","Valor nutricional","Rápido de preparar","250 gramos","Marcas tradicionales de supermercados","todos los días"
"2018/11/22 7:17:31 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Supermercados","Precio","Ocasiones especiales","700 gramos","Fuch","ocasionalmente"
"2018/11/22 7:17:32 p. m. GMT-3","Si","2 integrantes","4","3 o más veces por semana","pan preparado","Panderias","Cantidad","Durabilidad","580 gramos","Ideal","3 veces por semana"
"2018/11/22 7:17:49 p. m. GMT-3","No ( si tu escogiste esta alternativa finaliza la encuesta)","2 integrantes","3","ocasionalmente","indiferente","Panderias","Valor nutricional","Rápido de preparar","250 gramos","Ideal","todos los días"
"2018/11/22 7:18:18 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","envasado","Supermercados","Marca","Rápido de preparar","580 gramos","Castaño","3 veces por semana"
"2018/11/22 7:29:45 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/23 12:25:43 a. m. GMT-3","Si","3 integrantes","4","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/23 12:26:02 a. m. GMT-3","Si","vivo solo","1","ocasionalmente","envasado","Supermercados","Valor nutricional","Rápido de preparar","300 gramos","Ideal","ocasionalmente"
"2018/11/23 1:18:58 p. m. GMT-3","Si","vivo solo","1","ocasionalmente","envasado","Supermercados","Valor nutricional","Durabilidad","300 gramos","Fuch","ocasionalmente"
"2018/11/23 1:20:03 p. m. GMT-3","No ( si tu escogiste esta alternativa finaliza la encuesta)","vivo solo","4","3 o más veces por semana","pan preparado","Supermercados","Valor nutricional","Rápido de preparar","700 gramos","Marcas tradicionales de supermercados","ocasionalmente"
"2018/11/23 1:20:22 p. m. GMT-3","Si","3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Sabor","700 gramos","Fuch","ocasionalmente"
"2018/11/23 1:20:40 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Panderias","Cantidad","Sabor","700 gramos","Ideal","ocasionalmente"
"2018/11/23 1:20:55 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Fuch","ocasionalmente"
"2018/11/23 1:21:13 p. m. GMT-3","Si","Más de 3 integrantes","5","todos los días","granel","Panderias","Cantidad","Sabor","700 gramos","Castaño","ocasionalmente"
"2018/11/23 1:21:33 p. m. GMT-3","Si","3 integrantes","3","todos los días","granel","Panderias","Precio","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/23 1:21:49 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","granel","Panderias","Cantidad","Durabilidad","700 gramos","Fuch","ocasionalmente"
"2018/11/23 1:22:08 p. m. GMT-3","Si","3 integrantes","5","ocasionalmente","granel","Supermercados","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/23 1:22:46 p. m. GMT-3","Si","3 integrantes","5","todos los días","granel","Almacenes de barrio","Precio","Durabilidad","300 gramos","Ideal","ocasionalmente"
"2018/11/23 1:23:01 p. m. GMT-3","Si","Más de 3 integrantes","4","todos los días","indiferente","Almacenes de barrio","Precio","Sabor","700 gramos","Fuch","ocasionalmente"
"2018/11/23 1:23:15 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/23 1:23:29 p. m. GMT-3","Si","3 integrantes","3","todos los días","granel","Panderias","Valor nutricional","Durabilidad","300 gramos","Fuch","3 veces por semana"
"2018/11/23 1:23:45 p. m. GMT-3","Si","Más de 3 integrantes","3","ocasionalmente","granel","Almacenes de barrio","Precio","Durabilidad","580 gramos","Fuch","ocasionalmente"
"2018/11/23 1:24:00 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Supermercados","Valor nutricional","Rápido de preparar","580 gramos","Castaño","ocasionalmente"
"2018/11/23 1:24:18 p. m. GMT-3","Si","3 integrantes","3","todos los días","granel","Panderias","Cantidad","Sabor","580 gramos","Fuch","ocasionalmente"
"2018/11/23 1:24:35 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/23 1:24:53 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/23 1:25:09 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Fuch","ocasionalmente"
"2018/11/23 1:25:26 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/23 1:25:45 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/23 1:25:59 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","580 gramos","Ideal","ocasionalmente"
"2018/11/23 1:26:15 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","580 gramos","Fuch","ocasionalmente"
"2018/11/23 1:26:31 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Marcas tradicionales de supermercados","ocasionalmente"
"2018/11/23 1:26:45 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/23 1:27:00 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Fuch","ocasionalmente"
"2018/11/23 1:27:15 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/23 1:27:30 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/23 1:27:46 p. m. GMT-3","Si","2 integrantes","2","ocasionalmente","envasado","Supermercados","Valor nutricional","Durabilidad","580 gramos","Ideal","ocasionalmente"
"2018/11/23 1:28:00 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/23 1:28:15 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/23 1:28:34 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","envasado","Almacenes de barrio","Todas las anteriores","Ocasiones especiales","700 gramos","Fuch","ocasionalmente"
"2018/11/23 1:28:48 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/23 1:29:03 p. m. GMT-3","Si","Más de 3 integrantes","3","ocasionalmente","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Castaño","ocasionalmente"
"2018/11/23 1:29:18 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Panderias","Cantidad","Ocasiones especiales","700 gramos","Marcas tradicionales de supermercados","ocasionalmente"
"2018/11/23 1:29:36 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Panderias","Cantidad","Ocasiones especiales","700 gramos","Fuch","ocasionalmente"
"2018/11/23 1:29:54 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Fuch","ocasionalmente"
"2018/11/23 1:30:11 p. m. GMT-3","Si","Más de 3 integrantes","3","ocasionalmente","granel","Almacenes de barrio","Marca","Durabilidad","580 gramos","Castaño","ocasionalmente"
"2018/11/23 1:30:28 p. m. GMT-3","Si","Más de 3 integrantes","4","ocasionalmente","granel","Almacenes de barrio","Cantidad","Durabilidad","700 gramos","Castaño","3 veces por semana"
"2018/11/23 1:30:42 p. m. GMT-3","Si","vivo solo","1","ocasionalmente","envasado","otro","Todas las anteriores","Sabor","580 gramos","Castaño","ocasionalmente"
"2018/11/23 1:30:58 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Cantidad","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/23 1:31:15 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
"2018/11/23 1:32:47 p. m. GMT-3","Si","Más de 3 integrantes","3","todos los días","granel","Almacenes de barrio","Precio","Ocasiones especiales","700 gramos","Ideal","ocasionalmente"
